term	canonical	roles	primary_role	sources	source_types	parent_types	confidence	source_count	entry_count	provenance
white	white	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
white haired	white haired	color_attribute	color_attribute	vaw	hair color	hair color	high	1	1	modifier_attributes_clean
white lettered	white lettered	color_attribute	color_attribute	vaw	letter color	letter color	high	1	1	modifier_attributes_clean
whitesmoke	whitesmoke	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
whole	whole	state_attribute	state_attribute	coco_attributes|ovad|vaw	object_attribute|other|state	clean_exact_overlap|other|state	high	3	3	coco_high_typed|modifier_attributes_clean
wicker	wicker	material_attribute	material_attribute	vaw	material	material	high	1	1	modifier_attributes_clean
wide	wide	size_attribute	size_attribute	vaw	width	width	high	1	1	modifier_attributes_clean
wood	wood	material_attribute	material_attribute	fashionpedia|ovad|paco	material|non textile material type	material|non textile material type	high	3	3	modifier_attributes_clean
wood / wooden	wood / wooden	material_attribute	material_attribute	coco_attributes	object_attribute	clean_alias_exact_match	high	1	1	coco_high_typed
wooden	wooden	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
wool	wool	material_attribute	material_attribute	paco	material	material	high	1	1	modifier_attributes_clean
woven	woven	pattern_attribute|texture_attribute	pattern_attribute	dtd|paco|vaw	other|pattern marking|texture	other|pattern marking|texture	high	3	3	modifier_attributes_clean
wrinkled	wrinkled	texture_attribute	texture_attribute	dtd|vaw	texture	texture	high	2	2	modifier_attributes_clean
wrist length	wrist length	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
yellow	yellow	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
yellowgreen	yellowgreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
zigzagged	zigzagged	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
