term	canonical	confidence	sources	source_count	variant_of	synsets	rule_id
horse carriage	horse_carriage	high	lvis_object	1		carriage.n.02	trusted_visual_object_label
horse carriages	horse_carriage	high	lvis_object|plural_variant	1	horse carriage	carriage.n.02	trusted_visual_object_label
horse flies	horse_fly	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	horse fly	horsefly.n.02|wordnet_noun	vg_object_synset_plus_wordnet
horse s feet	horse_s_foot	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	horse's foot	foot.n.01|wordnet_noun	vg_object_synset_plus_wordnet
horse's foot	horse_s_foot	high	visual_genome_object_synset|wordnet_noun_mwe	2		foot.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hospital bed	hospital_bed	high	visual_genome_object_synset|wordnet_noun_mwe	2		hospital_bed.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hospital beds	hospital_bed	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	hospital bed	hospital_bed.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hospital room	hospital_room	high	visual_genome_object_synset|wordnet_noun_mwe	2		hospital_room.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hospital rooms	hospital_room	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	hospital room	hospital_room.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hot dog	hot_dog	high	coco_object|openimages_boxable|visual_genome_object_synset|wordnet_noun_mwe	4		dog.n.01|wordnet_noun	trusted_visual_object_label
hot dogs	hot_dog	high	coco_object|openimages_boxable|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	4	hot dog	dog.n.01|wordnet_noun	trusted_visual_object_label
hot pad	hot_pad	high	visual_genome_object_synset|wordnet_noun_mwe	2		pad.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hot pads	hot_pad	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	hot pad	pad.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hot pepper	hot_pepper	high	visual_genome_object_synset|wordnet_noun_mwe	2		pepper.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hot peppers	hot_pepper	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	hot pepper	pepper.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hot plate	hot_plate	high	visual_genome_object_synset|wordnet_noun_mwe	2		plate.n.04|wordnet_noun	vg_object_synset_plus_wordnet
hot plates	hot_plate	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	hot plate	plate.n.04|wordnet_noun	vg_object_synset_plus_wordnet
hot sauce	hot_sauce	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		hot_sauce.n.01|sauce.n.01|wordnet_noun	trusted_visual_object_label
hot sauces	hot_sauce	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	hot sauce	hot_sauce.n.01|sauce.n.01|wordnet_noun	trusted_visual_object_label
hot water	hot_water	high	visual_genome_object_synset|wordnet_noun_mwe	2		water.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hot waters	hot_water	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	hot water	water.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hot-air balloon	hot_air_balloon	high	lvis_object|wordnet_noun_mwe	2		hot-air_balloon.n.01|wordnet_noun	trusted_visual_object_label
hot-air balloons	hot_air_balloon	high	lvis_object|plural_variant|wordnet_noun_mwe	2	hot-air balloon	hot-air_balloon.n.01|wordnet_noun	trusted_visual_object_label
hot-water heater	hot_water_heater	high	lvis_object|wordnet_noun_mwe	2		water_heater.n.01|wordnet_noun	trusted_visual_object_label
hot-water heaters	hot_water_heater	high	lvis_object|plural_variant|wordnet_noun_mwe	2	hot-water heater	water_heater.n.01|wordnet_noun	trusted_visual_object_label
hotdog bun	hotdog_bun	high	visual_genome_object_synset|wordnet_noun_mwe	2		frankfurter_bun.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hotdog buns	hotdog_bun	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	hotdog bun	frankfurter_bun.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hotel room	hotel_room	high	visual_genome_object_synset|wordnet_noun_mwe	2		hotel_room.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hotel rooms	hotel_room	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	hotel room	hotel_room.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hour hand	hour_hand	high	visual_genome_object_synset|wordnet_noun_mwe	2		hour_hand.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hour hands	hour_hand	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	hour hand	hour_hand.n.01|wordnet_noun	vg_object_synset_plus_wordnet
house cat	house_cat	high	visual_genome_object_synset|wordnet_noun_mwe	2		domestic_cat.n.01|wordnet_noun	vg_object_synset_plus_wordnet
house cats	house_cat	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	house cat	domestic_cat.n.01|wordnet_noun	vg_object_synset_plus_wordnet
house trailer	house_trailer	high	visual_genome_object_synset|wordnet_noun_mwe	2		trailer.n.04|wordnet_noun	vg_object_synset_plus_wordnet
house trailers	house_trailer	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	house trailer	trailer.n.04|wordnet_noun	vg_object_synset_plus_wordnet
household appliances	household_appliance	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	household appliance	home_appliance.n.01|wordnet_noun	vg_object_synset_plus_wordnet
human arm	human_arm	high	openimages_boxable	1			trusted_visual_object_label
human arms	human_arm	high	openimages_boxable|plural_variant	1	human arm		trusted_visual_object_label
human bodies	human_body	high	openimages_boxable|plural_variant|wordnet_noun_mwe	2	human body	wordnet_noun	trusted_visual_object_label
human body	human_body	high	openimages_boxable|wordnet_noun_mwe	2		wordnet_noun	trusted_visual_object_label
human ear	human_ear	high	openimages_boxable	1			trusted_visual_object_label
human ears	human_ear	high	openimages_boxable|plural_variant	1	human ear		trusted_visual_object_label
human eye	human_eye	high	openimages_boxable	1			trusted_visual_object_label
human eyes	human_eye	high	openimages_boxable|plural_variant	1	human eye		trusted_visual_object_label
human face	human_face	high	openimages_boxable|wordnet_noun_mwe	2		wordnet_noun	trusted_visual_object_label
human faces	human_face	high	openimages_boxable|plural_variant|wordnet_noun_mwe	2	human face	wordnet_noun	trusted_visual_object_label
human feet	human_foot	high	openimages_boxable|plural_variant|wordnet_noun_mwe	2	human foot	wordnet_noun	trusted_visual_object_label
human foot	human_foot	high	openimages_boxable|wordnet_noun_mwe	2		wordnet_noun	trusted_visual_object_label
human hair	human_hair	high	openimages_boxable	1			trusted_visual_object_label
human hairs	human_hair	high	openimages_boxable|plural_variant	1	human hair		trusted_visual_object_label
human hand	human_hand	high	openimages_boxable|visual_genome_object_synset	2		hand.n.01	trusted_visual_object_label
human hands	human_hand	high	openimages_boxable|plural_variant|visual_genome_object_synset	2	human hand	hand.n.01	trusted_visual_object_label
human head	human_head	high	openimages_boxable|wordnet_noun_mwe	2		wordnet_noun	trusted_visual_object_label
human heads	human_head	high	openimages_boxable|plural_variant|wordnet_noun_mwe	2	human head	wordnet_noun	trusted_visual_object_label
human leg	human_leg	high	openimages_boxable|visual_genome_object_synset	2		leg.n.01	trusted_visual_object_label
human legs	human_leg	high	openimages_boxable|plural_variant|visual_genome_object_synset	2	human leg	leg.n.01	trusted_visual_object_label
human mouth	human_mouth	high	openimages_boxable	1			trusted_visual_object_label
human mouths	human_mouth	high	openimages_boxable|plural_variant	1	human mouth		trusted_visual_object_label
human nose	human_nose	high	openimages_boxable	1			trusted_visual_object_label
human noses	human_nose	high	openimages_boxable|plural_variant	1	human nose		trusted_visual_object_label
hush puppies	hush_puppy	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	hush puppy	puppy.n.01|wordnet_noun	vg_object_synset_plus_wordnet
hush puppy	hush_puppy	high	visual_genome_object_synset|wordnet_noun_mwe	2		puppy.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ice bag	ice_bag	high	lvis_object|wordnet_noun_mwe	2		ice_pack.n.01|wordnet_noun	trusted_visual_object_label
ice bags	ice_bag	high	lvis_object|plural_variant|wordnet_noun_mwe	2	ice bag	ice_pack.n.01|wordnet_noun	trusted_visual_object_label
ice chest	ice_chest	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		cooler.n.01|wordnet_noun	trusted_visual_object_label
ice chests	ice_chest	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	ice chest	cooler.n.01|wordnet_noun	trusted_visual_object_label
ice coffee	ice_coffee	high	visual_genome_object_synset|wordnet_noun_mwe	2		iced_coffee.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ice coffees	ice_coffee	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	ice coffee	iced_coffee.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ice cream	ice_cream	high	openimages_boxable|visual_genome_object_synset|wordnet_noun_mwe	3		ice_cream.n.01|wordnet_noun	trusted_visual_object_label
ice creams	ice_cream	high	openimages_boxable|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	ice cream	ice_cream.n.01|wordnet_noun	trusted_visual_object_label
ice cube	ice_cube	high	visual_genome_object_synset|wordnet_noun_mwe	2		ice_cube.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ice cubes	ice_cube	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	ice cube	ice_cube.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ice machine	ice_machine	high	visual_genome_object_synset|wordnet_noun_mwe	2		ice_machine.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ice machines	ice_machine	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	ice machine	ice_machine.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ice maker	ice_maker	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		ice_maker.n.01|wordnet_noun	trusted_visual_object_label
ice makers	ice_maker	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	ice maker	ice_maker.n.01|wordnet_noun	trusted_visual_object_label
ice pack	ice_pack	high	lvis_object|wordnet_noun_mwe	2		ice_pack.n.01|wordnet_noun	trusted_visual_object_label
ice packs	ice_pack	high	lvis_object|plural_variant|wordnet_noun_mwe	2	ice pack	ice_pack.n.01|wordnet_noun	trusted_visual_object_label
ice rink	ice_rink	high	visual_genome_object_synset|wordnet_noun_mwe	2		ice_rink.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ice rinks	ice_rink	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	ice rink	ice_rink.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ice skate	ice_skate	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		ice_skate.n.01|wordnet_noun	trusted_visual_object_label
ice skates	ice_skate	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	ice skate	ice_skate.n.01|wordnet_noun	trusted_visual_object_label
ice tea	ice_tea	high	visual_genome_object_synset|wordnet_noun_mwe	2		ice_tea.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ice teas	ice_tea	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	ice tea	ice_tea.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ice water	ice_water	high	visual_genome_object_synset|wordnet_noun_mwe	2		ice_water.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ice waters	ice_water	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	ice water	ice_water.n.01|wordnet_noun	vg_object_synset_plus_wordnet
iced coffee	iced_coffee	high	visual_genome_object_synset|wordnet_noun_mwe	2		coffee.n.01|wordnet_noun	vg_object_synset_plus_wordnet
iced coffees	iced_coffee	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	iced coffee	coffee.n.01|wordnet_noun	vg_object_synset_plus_wordnet
iced tea	iced_tea	high	visual_genome_object_synset|wordnet_noun_mwe	2		tea.n.01|wordnet_noun	vg_object_synset_plus_wordnet
iced teas	iced_tea	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	iced tea	tea.n.01|wordnet_noun	vg_object_synset_plus_wordnet
identity card	identity_card	high	lvis_object|wordnet_noun_mwe	2		card.n.02|wordnet_noun	trusted_visual_object_label
identity cards	identity_card	high	lvis_object|plural_variant|wordnet_noun_mwe	2	identity card	card.n.02|wordnet_noun	trusted_visual_object_label
ignition key	ignition_key	high	visual_genome_object_synset|wordnet_noun_mwe	2		ignition_key.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ignition keys	ignition_key	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	ignition key	ignition_key.n.01|wordnet_noun	vg_object_synset_plus_wordnet
index finger	index_finger	high	visual_genome_object_synset|wordnet_noun_mwe	2		index.n.05|wordnet_noun	vg_object_synset_plus_wordnet
index fingers	index_finger	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	index finger	index.n.05|wordnet_noun	vg_object_synset_plus_wordnet
indicator lamp	indicator_lamp	high	visual_genome_object_synset|wordnet_noun_mwe	2		pilot_light.n.02|wordnet_noun	vg_object_synset_plus_wordnet
indicator lamps	indicator_lamp	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	indicator lamp	pilot_light.n.02|wordnet_noun	vg_object_synset_plus_wordnet
indoor rower	indoor_rower	high	openimages_boxable	1			trusted_visual_object_label
indoor rowers	indoor_rower	high	openimages_boxable|plural_variant	1	indoor rower		trusted_visual_object_label
infant bed	infant_bed	high	openimages_boxable	1			trusted_visual_object_label
infant beds	infant_bed	high	openimages_boxable|plural_variant	1	infant bed		trusted_visual_object_label
ink cartridge	ink_cartridge	high	visual_genome_object_synset|wordnet_noun_mwe	2		ink_cartridge.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ink cartridges	ink_cartridge	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	ink cartridge	ink_cartridge.n.01|wordnet_noun	vg_object_synset_plus_wordnet
inking pad	inking_pad	high	lvis_object|wordnet_noun_mwe	2		pad.n.03|wordnet_noun	trusted_visual_object_label
inking pads	inking_pad	high	lvis_object|plural_variant|wordnet_noun_mwe	2	inking pad	pad.n.03|wordnet_noun	trusted_visual_object_label
inner ear	inner_ear	high	visual_genome_object_synset|wordnet_noun_mwe	2		ear.n.01|wordnet_noun	vg_object_synset_plus_wordnet
inner ears	inner_ear	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	inner ear	ear.n.01|wordnet_noun	vg_object_synset_plus_wordnet
inner tube	inner_tube	high	visual_genome_object_synset|wordnet_noun_mwe	2		tube.n.01|wordnet_noun	vg_object_synset_plus_wordnet
inner tubes	inner_tube	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	inner tube	tube.n.01|wordnet_noun	vg_object_synset_plus_wordnet
instrument (musical)	instrument_musical	high	lvis_object	1		musical_instrument.n.01	trusted_visual_object_label
instrument musicals	instrument_musical	high	lvis_object|plural_variant	1	instrument (musical)	musical_instrument.n.01	trusted_visual_object_label
instrument panel	instrument_panel	high	visual_genome_object_synset|wordnet_noun_mwe	2		control_panel.n.01|wordnet_noun	vg_object_synset_plus_wordnet
instrument panels	instrument_panel	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	instrument panel	control_panel.n.01|wordnet_noun	vg_object_synset_plus_wordnet
interior door	interior_door	high	visual_genome_object_synset|wordnet_noun_mwe	2		door.n.01|wordnet_noun	vg_object_synset_plus_wordnet
interior doors	interior_door	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	interior door	door.n.01|wordnet_noun	vg_object_synset_plus_wordnet
internal ear	internal_ear	high	visual_genome_object_synset|wordnet_noun_mwe	2		ear.n.01|wordnet_noun	vg_object_synset_plus_wordnet
internal ears	internal_ear	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	internal ear	ear.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ironing board	ironing_board	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		board.n.02|ironing_board.n.01|wordnet_noun	trusted_visual_object_label
ironing boards	ironing_board	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	ironing board	board.n.02|ironing_board.n.01|wordnet_noun	trusted_visual_object_label
jack-o lanterns	jack_o_lantern	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	jack-o-lantern	jack-o-lantern_fungus.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jack-o-lantern	jack_o_lantern	high	visual_genome_object_synset|wordnet_noun_mwe	2		jack-o-lantern_fungus.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jaguar (animal)	jaguar_animal	high	openimages_boxable	1			trusted_visual_object_label
jaguar animals	jaguar_animal	high	openimages_boxable|plural_variant	1	jaguar (animal)		trusted_visual_object_label
jail cell	jail_cell	high	visual_genome_object_synset|wordnet_noun_mwe	2		cell.n.07|wordnet_noun	vg_object_synset_plus_wordnet
jail cells	jail_cell	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	jail cell	cell.n.07|wordnet_noun	vg_object_synset_plus_wordnet
jalapeno pepper	jalapeno_pepper	high	visual_genome_object_synset|wordnet_noun_mwe	2		pepper.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jalapeno peppers	jalapeno_pepper	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	jalapeno pepper	pepper.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jelly bean	jelly_bean	high	lvis_object|wordnet_noun_mwe	2		jelly_bean.n.01|wordnet_noun	trusted_visual_object_label
jelly beans	jelly_bean	high	lvis_object|plural_variant|wordnet_noun_mwe	2	jelly bean	jelly_bean.n.01|wordnet_noun	trusted_visual_object_label
jelly egg	jelly_egg	high	lvis_object|wordnet_noun_mwe	2		jelly_bean.n.01|wordnet_noun	trusted_visual_object_label
jelly eggs	jelly_egg	high	lvis_object|plural_variant|wordnet_noun_mwe	2	jelly egg	jelly_bean.n.01|wordnet_noun	trusted_visual_object_label
jet engine	jet_engine	high	visual_genome_object_synset|wordnet_noun_mwe	2		jet_engine.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jet engines	jet_engine	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	jet engine	jet_engine.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jet plane	jet_plane	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		jet.n.01|wordnet_noun	trusted_visual_object_label
jet planes	jet_plane	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	jet plane	jet.n.01|wordnet_noun	trusted_visual_object_label
jet ski	jet_ski	high	lvis_object|openimages_boxable	2		water_scooter.n.01	trusted_visual_object_label
jet skis	jet_ski	high	lvis_object|openimages_boxable|plural_variant	2	jet ski	water_scooter.n.01	trusted_visual_object_label
jet-propelled plane	jet_propelled_plane	high	lvis_object|wordnet_noun_mwe	2		jet.n.01|wordnet_noun	trusted_visual_object_label
jet-propelled planes	jet_propelled_plane	high	lvis_object|plural_variant|wordnet_noun_mwe	2	jet-propelled plane	jet.n.01|wordnet_noun	trusted_visual_object_label
jewelry store	jewelry_store	high	visual_genome_object_synset|wordnet_noun_mwe	2		jewelry_dealer.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jewelry stores	jewelry_store	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	jewelry store	jewelry_dealer.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jigsaw puzzle	jigsaw_puzzle	high	visual_genome_object_synset|wordnet_noun_mwe	2		jigsaw_puzzle.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jigsaw puzzles	jigsaw_puzzle	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	jigsaw puzzle	jigsaw_puzzle.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jockey cap	jockey_cap	high	lvis_object|wordnet_noun_mwe	2		baseball_cap.n.01|wordnet_noun	trusted_visual_object_label
jockey caps	jockey_cap	high	lvis_object|plural_variant|wordnet_noun_mwe	2	jockey cap	baseball_cap.n.01|wordnet_noun	trusted_visual_object_label
juice reamer	juice_reamer	high	lvis_object|wordnet_noun_mwe	2		reamer.n.01|wordnet_noun	trusted_visual_object_label
juice reamers	juice_reamer	high	lvis_object|plural_variant|wordnet_noun_mwe	2	juice reamer	reamer.n.01|wordnet_noun	trusted_visual_object_label
jumbo jet	jumbo_jet	high	visual_genome_object_synset|wordnet_noun_mwe	2		jet.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jumbo jets	jumbo_jet	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	jumbo jet	jet.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jump rope	jump_rope	high	visual_genome_object_synset|wordnet_noun_mwe	2		jump_rope.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jump ropes	jump_rope	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	jump rope	jump_rope.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jump suit	jump_suit	high	visual_genome_object_synset|wordnet_noun_mwe	2		jump_suit.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jump suits	jump_suit	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	jump suit	jump_suit.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jungle gym	jungle_gym	high	visual_genome_object_synset|wordnet_noun_mwe	2		jungle_gym.n.01|wordnet_noun	vg_object_synset_plus_wordnet
jungle gyms	jungle_gym	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	jungle gym	jungle_gym.n.01|wordnet_noun	vg_object_synset_plus_wordnet
juniper bush	juniper_bush	high	visual_genome_object_synset|wordnet_noun_mwe	2		retem.n.01|wordnet_noun	vg_object_synset_plus_wordnet
juniper bushes	juniper_bush	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	juniper bush	retem.n.01|wordnet_noun	vg_object_synset_plus_wordnet
junk pile	junk_pile	high	visual_genome_object_synset|wordnet_noun_mwe	2		garbage_heap.n.01|wordnet_noun	vg_object_synset_plus_wordnet
junk piles	junk_pile	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	junk pile	garbage_heap.n.01|wordnet_noun	vg_object_synset_plus_wordnet
kerosene lamp	kerosene_lamp	high	lvis_object|wordnet_noun_mwe	2		oil_lamp.n.01|wordnet_noun	trusted_visual_object_label
kerosene lamps	kerosene_lamp	high	lvis_object|plural_variant|wordnet_noun_mwe	2	kerosene lamp	oil_lamp.n.01|wordnet_noun	trusted_visual_object_label
kerosine lamp	kerosine_lamp	high	lvis_object|wordnet_noun_mwe	2		oil_lamp.n.01|wordnet_noun	trusted_visual_object_label
kerosine lamps	kerosine_lamp	high	lvis_object|plural_variant|wordnet_noun_mwe	2	kerosine lamp	oil_lamp.n.01|wordnet_noun	trusted_visual_object_label
ketchup bottle	ketchup_bottle	high	visual_genome_object_synset|wordnet_noun_mwe	2		catsup_bottle.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ketchup bottles	ketchup_bottle	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	ketchup bottle	catsup_bottle.n.01|wordnet_noun	vg_object_synset_plus_wordnet
key ring	key_ring	high	visual_genome_object_synset|wordnet_noun_mwe	2		ring.n.01|wordnet_noun	vg_object_synset_plus_wordnet
key rings	key_ring	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	key ring	ring.n.01|wordnet_noun	vg_object_synset_plus_wordnet
keyboard (computer)	keyboard_computer	high	lvis_object	1		computer_keyboard.n.01	trusted_visual_object_label
keyboard computers	keyboard_computer	high	lvis_object|plural_variant	1	keyboard (computer)	computer_keyboard.n.01	trusted_visual_object_label
kick start	kick_start	high	visual_genome_object_synset|wordnet_noun_mwe	2		kick_starter.n.01|wordnet_noun	vg_object_synset_plus_wordnet
kick starts	kick_start	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	kick start	kick_starter.n.01|wordnet_noun	vg_object_synset_plus_wordnet
kidney beans	kidney_bean	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	kidney bean	kidney_bean.n.01|wordnet_noun	vg_object_synset_plus_wordnet
kitchen & dining room table	kitchen_dining_room_table	high	openimages_boxable	1			trusted_visual_object_label
kitchen appliance	kitchen_appliance	high	openimages_boxable|visual_genome_object_synset|wordnet_noun_mwe	3		kitchen_appliance.n.01|wordnet_noun	trusted_visual_object_label
kitchen appliances	kitchen_appliance	high	openimages_boxable|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	kitchen appliance	kitchen_appliance.n.01|wordnet_noun	trusted_visual_object_label
kitchen cabinet	kitchen_cabinet	high	visual_genome_object_synset|wordnet_noun_mwe	2		kitchen_cabinet.n.01|wordnet_noun	vg_object_synset_plus_wordnet
kitchen cabinets	kitchen_cabinet	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	kitchen cabinet	kitchen_cabinet.n.01|wordnet_noun	vg_object_synset_plus_wordnet
kitchen dining room tables	kitchen_dining_room_table	high	openimages_boxable|plural_variant	1	kitchen & dining room table		trusted_visual_object_label
kitchen island	kitchen_island	high	visual_genome_object_synset|wordnet_noun_mwe	2		kitchen_island.n.01|wordnet_noun	vg_object_synset_plus_wordnet
kitchen islands	kitchen_island	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	kitchen island	kitchen_island.n.01|wordnet_noun	vg_object_synset_plus_wordnet
kitchen knife	kitchen_knife	high	openimages_boxable	1			trusted_visual_object_label
kitchen knifes	kitchen_knife	high	openimages_boxable|plural_variant	1	kitchen knife		trusted_visual_object_label
kitchen range	kitchen_range	high	lvis_object|wordnet_noun_mwe	2		stove.n.01|wordnet_noun	trusted_visual_object_label
kitchen ranges	kitchen_range	high	lvis_object|plural_variant|wordnet_noun_mwe	2	kitchen range	stove.n.01|wordnet_noun	trusted_visual_object_label
kitchen sink	kitchen_sink	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		kitchen_sink.n.01|wordnet_noun	trusted_visual_object_label
kitchen sinks	kitchen_sink	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	kitchen sink	kitchen_sink.n.01|wordnet_noun	trusted_visual_object_label
kitchen stove	kitchen_stove	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		stove.n.01|wordnet_noun	trusted_visual_object_label
kitchen stoves	kitchen_stove	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	kitchen stove	stove.n.01|wordnet_noun	trusted_visual_object_label
kitchen table	kitchen_table	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		kitchen_table.n.01|wordnet_noun	trusted_visual_object_label
kitchen tables	kitchen_table	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	kitchen table	kitchen_table.n.01|wordnet_noun	trusted_visual_object_label
kitchen utensil	kitchen_utensil	high	openimages_boxable|wordnet_noun_mwe	2		wordnet_noun	trusted_visual_object_label
kitchen utensils	kitchen_utensil	high	openimages_boxable|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	kitchen utensil	kitchen_utensil.n.01|wordnet_noun	trusted_visual_object_label
kite tail	kite_tail	high	visual_genome_object_synset|wordnet_noun_mwe	2		kite_tail.n.01|wordnet_noun	vg_object_synset_plus_wordnet
kite tails	kite_tail	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	kite tail	kite_tail.n.01|wordnet_noun	vg_object_synset_plus_wordnet
