term	canonical	roles	primary_role	sources	source_types	parent_types	confidence	source_count	entry_count	provenance
low waist	low waist	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	1	1	modifier_attributes_clean
lying	lying	pose_attribute|spatial_attribute	pose_attribute	ovad|vaw	pose|position	pose|position	high	2	2	modifier_attributes_clean
mad	mad	expression_attribute	expression_attribute	ovad	face expression	face expression	high	1	1	modifier_attributes_clean
magenta	magenta	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
male	male	gender_attribute	gender_attribute	coco_attributes|ovad|vaw	gender|object_attribute	clean_exact_overlap|gender	high	3	3	coco_high_typed|modifier_attributes_clean
man	man	gender_attribute	gender_attribute	ovad	gender	gender	high	1	1	modifier_attributes_clean
mandarin (collar)	mandarin (collar)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
mao (jacket)	mao (jacket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
marble	marble	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
marbled	marbled	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
maroon	maroon	color_attribute	color_attribute	css_color_4|vaw	color	color	high	2	2	modifier_attributes_clean
matted	matted	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
maxi (length)	maxi (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
mediumaquamarine	mediumaquamarine	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
mediumblue	mediumblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
mediumorchid	mediumorchid	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
mediumpurple	mediumpurple	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
mediumseagreen	mediumseagreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
mediumslateblue	mediumslateblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
mediumspringgreen	mediumspringgreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
mediumturquoise	mediumturquoise	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
mediumvioletred	mediumvioletred	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
mermaid	mermaid	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
mesh	mesh	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
meshed	meshed	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
messy	messy	order_attribute	order_attribute	ovad|vaw	order|other	order|other	high	2	2	modifier_attributes_clean
messy / cluttered	messy / cluttered	condition_attribute|order_attribute	condition_attribute	coco_attributes	object_attribute	clean_alias_exact_match_plus_coco_rule	high	1	1	coco_high_typed
metal	metal	material_attribute	material_attribute	fashionpedia|ovad|paco|vaw	material|non textile material type	material|non textile material type	high	4	4	modifier_attributes_clean
metal / metallic	metal / metallic	material_attribute	material_attribute	coco_attributes	object_attribute	clean_alias_exact_match	high	1	1	coco_high_typed
metallic	metallic	material_attribute	material_attribute	ovad	material	material	high	1	1	modifier_attributes_clean
micro (length)	micro (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
midi	midi	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
midnightblue	midnightblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
military (coat)	military (coat)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
mini (length)	mini (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
mintcream	mintcream	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
mistyrose	mistyrose	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
moccasin	moccasin	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
monochromatic	monochromatic	color_attribute	color_attribute	vaw	color quantity	color quantity	high	1	1	modifier_attributes_clean
moss covered	moss covered	texture_attribute	texture_attribute	vaw	texture	texture	high	1	1	modifier_attributes_clean
moving	moving	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
muddy	muddy	condition_attribute|material_attribute	material_attribute	ovad|vaw	cleanliness|material	cleanliness|material	high	2	2	modifier_attributes_clean
multicolored	multicolored	color_attribute	color_attribute	ovad|vaw	color quantity	color quantity	high	2	2	modifier_attributes_clean
murky	murky	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
napoleon (lapel)	napoleon (lapel)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
narrow	narrow	size_attribute	size_attribute	vaw	width	width	high	1	1	modifier_attributes_clean
navajowhite	navajowhite	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
navy	navy	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
navy blue	navy blue	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
neat	neat	condition_attribute	condition_attribute	ovad	cleanliness	cleanliness	high	1	1	modifier_attributes_clean
nehru (jacket)	nehru (jacket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
neon green	neon green	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
neutral	neutral	expression_attribute	expression_attribute	ovad	face expression	face expression	high	1	1	modifier_attributes_clean
new	new	condition_attribute	condition_attribute	coco_attributes|vaw	newness|object_attribute	clean_exact_overlap|newness	high	2	2	coco_high_typed|modifier_attributes_clean
nightgown	nightgown	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
no non textile material	no non textile material	material_attribute	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1	modifier_attributes_clean
no opening	no opening	clothing_opening_attribute	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	1	1	modifier_attributes_clean
no special manufacturing technique	no special manufacturing technique	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
no waistline	no waistline	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	1	1	modifier_attributes_clean
norfolk (jacket)	norfolk (jacket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
normal waist	normal waist	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	1	1	modifier_attributes_clean
notched (lapel)	notched (lapel)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
octagonal	octagonal	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
off	off	state_attribute	state_attribute	coco_attributes|ovad|vaw	object_attribute|other|state	clean_exact_overlap|other|state	high	3	3	coco_high_typed|modifier_attributes_clean
off the shoulder	off the shoulder	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
off white	off white	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
old	old	age_attribute|condition_attribute	condition_attribute	coco_attributes|ovad|vaw	maturity|newness|object_attribute	clean_exact_overlap|maturity|newness	high	3	4	coco_high_typed|modifier_attributes_clean
oldlace	oldlace	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
olive	olive	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
olive green	olive green	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
olivedrab	olivedrab	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
on	on	state_attribute	state_attribute	coco_attributes|ovad	object_attribute|state	clean_exact_overlap|state	high	2	2	coco_high_typed|modifier_attributes_clean
on ground	on ground	context_attribute	context_attribute	vaw	place	place	high	1	1	modifier_attributes_clean
on the wall	on the wall	context_attribute	context_attribute	vaw	place	place	high	1	1	modifier_attributes_clean
one	one	group_attribute	group_attribute	ovad	group	group	high	1	1	modifier_attributes_clean
one shoulder	one shoulder	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
opaque	opaque	opacity_attribute	opacity_attribute	ovad|paco|vaw	opaqeness|optical property|transparency	opaqeness|optical property|transparency	high	3	3	modifier_attributes_clean
open	open	state_attribute	state_attribute	coco_attributes|ovad|vaw	object_attribute|state	clean_exact_overlap|state	high	3	3	coco_high_typed|modifier_attributes_clean
orange	orange	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
orangered	orangered	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
orchid	orchid	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
ordered	ordered	order_attribute	order_attribute	ovad	order	order	high	1	1	modifier_attributes_clean
organized	organized	order_attribute	order_attribute	coco_attributes|ovad	object_attribute|order	clean_exact_overlap|order	high	2	2	coco_high_typed|modifier_attributes_clean
outdoors	outdoors	context_attribute	context_attribute	vaw	location	location	high	1	1	modifier_attributes_clean
oval (neck)	oval (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
oval shaped	oval shaped	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
overcast	overcast	weather_attribute	weather_attribute	vaw	weather	weather	high	1	1	modifier_attributes_clean
oversized	oversized	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
oversized (collar)	oversized (collar)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
oversized (lapel)	oversized (lapel)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
paddling	paddling	activity_attribute	activity_attribute	vaw	activity	activity	high	1	1	modifier_attributes_clean
paisley	paisley	pattern_attribute|texture_attribute	pattern_attribute	dtd|fashionpedia	textile pattern|texture	textile pattern|texture	high	2	2	modifier_attributes_clean
pale blue	pale blue	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
pale green	pale green	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
palegoldenrod	palegoldenrod	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
palegreen	palegreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
paleturquoise	paleturquoise	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
palevioletred	palevioletred	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
papayawhip	papayawhip	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
paper	paper	material_attribute	material_attribute	ovad|paco|vaw	material	material	high	3	3	modifier_attributes_clean
parka	parka	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
parked	parked	state_attribute	state_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
participating	participating	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
partly cloudy	partly cloudy	weather_attribute	weather_attribute	vaw	weather	weather	high	1	1	modifier_attributes_clean
patch (pocket)	patch (pocket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
patterned	patterned	pattern_attribute	pattern_attribute	vaw	pattern	pattern	high	1	1	modifier_attributes_clean
pea (coat)	pea (coat)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
pea (jacket)	pea (jacket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
peachpuff	peachpuff	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
peacock	peacock	motif_attribute	motif_attribute	fashionpedia	animal	animal	medium	1	1	modifier_attributes_clean
peak (lapel)	peak (lapel)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
peasant (top)	peasant (top)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
pebbled	pebbled	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
peg	peg	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
peg (pants)	peg (pants)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
pencil	pencil	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
peplum	peplum	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
perched	perched	pose_attribute	pose_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
perforated	perforated	pattern_attribute|textile_finish_attribute|texture_attribute	pattern_attribute	dtd|fashionpedia|paco	pattern marking|textile finishing, manufacturing techniques|texture	pattern marking|textile finishing, manufacturing techniques|texture	high	3	3	modifier_attributes_clean
peru	peru	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
peter pan (collar)	peter pan (collar)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
piece	piece	state_attribute	state_attribute	ovad|vaw	other|state	other|state	high	2	2	modifier_attributes_clean
pink	pink	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
pinstriped	pinstriped	pattern_attribute	pattern_attribute	ovad|vaw	clothes pattern|pattern	pattern	high	2	3	modifier_attributes_clean
pitted	pitted	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
plaid	plaid	pattern_attribute	pattern_attribute	ovad|vaw	clothes pattern|pattern	pattern	high	2	3	modifier_attributes_clean
plain	plain	pattern_attribute	pattern_attribute	coco_attributes|ovad|paco|vaw	clothes pattern|object_attribute|other|pattern|pattern marking	clean_exact_overlap|other|pattern|pattern marking	high	4	5	coco_high_typed|modifier_attributes_clean
plain (pattern)	plain (pattern)	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
plant	plant	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
plastic	plastic	material_attribute	material_attribute	coco_attributes|fashionpedia|ovad|paco|vaw	material|non textile material type|object_attribute	clean_exact_overlap|material|non textile material type	high	5	5	coco_high_typed|modifier_attributes_clean
playing	playing	activity_attribute	activity_attribute	coco_attributes|vaw	activity|object_attribute	activity|clean_exact_overlap	high	2	2	coco_high_typed|modifier_attributes_clean
playing baseball	playing baseball	activity_attribute	activity_attribute	vaw	sport activity	sport activity	high	1	1	modifier_attributes_clean
playing football	playing football	activity_attribute	activity_attribute	vaw	sport activity	sport activity	high	1	1	modifier_attributes_clean
playing frisbee	playing frisbee	activity_attribute	activity_attribute	vaw	sport activity	sport activity	high	1	1	modifier_attributes_clean
playing tennis	playing tennis	activity_attribute	activity_attribute	vaw	sport activity	sport activity	high	1	1	modifier_attributes_clean
pleat	pleat	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
pleated	pleated	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
plum	plum	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
plunging (neckline)	plunging (neckline)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
plush	plush	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
poet (sleeve)	poet (sleeve)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
pointing	pointing	activity_attribute	activity_attribute	vaw	hand movement	hand movement	high	1	1	modifier_attributes_clean
pointy	pointy	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
polka dotted	polka dotted	pattern_attribute|texture_attribute	pattern_attribute	dtd|vaw	pattern|texture	pattern|texture	high	2	2	modifier_attributes_clean
polo (collar)	polo (collar)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
polo (shirt)	polo (shirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
polymer	polymer	material_attribute	material_attribute	ovad	material	material	high	1	1	modifier_attributes_clean
polymers	polymers	material_attribute	material_attribute	ovad	material	material	high	1	1	modifier_attributes_clean
porcelain	porcelain	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
porous	porous	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
posing	posing	activity_attribute	activity_attribute	vaw	activity	activity	high	1	1	modifier_attributes_clean
potholed	potholed	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
powderblue	powderblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
prairie (skirt)	prairie (skirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
printed	printed	textile_finish_attribute	textile_finish_attribute	fashionpedia|vaw	other|textile finishing, manufacturing techniques	other|textile finishing, manufacturing techniques	medium	2	2	modifier_attributes_clean
public	public	context_attribute	context_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
puff (sleeve)	puff (sleeve)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
puffer (coat)	puffer (coat)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
puffer (jacket)	puffer (jacket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
purple	purple	color_attribute	color_attribute	css_color_4|paco|vaw	color	color	high	3	3	modifier_attributes_clean
purplish	purplish	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
queen anne (neck)	queen anne (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
quilted	quilted	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
racing	racing	activity_attribute|sport_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
raglan (sleeve)	raglan (sleeve)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
raglan (t shirt)	raglan (t shirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
rah rah (skirt)	rah rah (skirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
rainbow colored	rainbow colored	color_attribute	color_attribute	vaw	color quantity	color quantity	high	1	1	modifier_attributes_clean
raincoat	raincoat	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
rainy	rainy	weather_attribute	weather_attribute	vaw	weather	weather	high	1	1	modifier_attributes_clean
rattan	rattan	material_attribute	material_attribute	paco	material	material	high	1	1	modifier_attributes_clean
raw	raw	food_state_attribute	food_state_attribute	ovad|vaw	cooked|other	cooked|other	high	2	2	modifier_attributes_clean
reaching	reaching	pose_attribute	pose_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
reading	reading	activity_attribute	activity_attribute	coco_attributes|vaw	activity|object_attribute	activity|clean_exact_overlap	high	2	2	coco_high_typed|modifier_attributes_clean
rebeccapurple	rebeccapurple	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
rectangular	rectangular	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
red	red	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
red brick	red brick	material_attribute	material_attribute	vaw	material	material	high	1	1	modifier_attributes_clean
red haired	red haired	color_attribute	color_attribute	vaw	hair color	hair color	high	1	1	modifier_attributes_clean
red lettered	red lettered	color_attribute	color_attribute	vaw	letter color	letter color	high	1	1	modifier_attributes_clean
red striped	red striped	pattern_attribute	pattern_attribute	vaw	pattern	pattern	high	1	1	modifier_attributes_clean
reddish	reddish	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
reflective	reflective	opacity_attribute	opacity_attribute	ovad|vaw	optical property|other	optical property|other	high	2	2	modifier_attributes_clean
regular (collar)	regular (collar)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
regular (fit)	regular (fit)	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
resting	resting	activity_attribute	activity_attribute	vaw	activity	activity	high	1	1	modifier_attributes_clean
riding	riding	activity_attribute	activity_attribute	coco_attributes|vaw	activity|object_attribute	activity|clean_exact_overlap	high	2	2	coco_high_typed|modifier_attributes_clean
riding bike	riding bike	activity_attribute	activity_attribute	vaw	activity	activity	high	1	1	modifier_attributes_clean
riding horse	riding horse	activity_attribute	activity_attribute	vaw	activity	activity	high	1	1	modifier_attributes_clean
ringer (t shirt)	ringer (t shirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
rivet(a)	rivet(a)	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
robe	robe	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
rocky	rocky	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
roll up (shorts)	roll up (shorts)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
rosybrown	rosybrown	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
rough	rough	texture_attribute	texture_attribute	ovad|vaw	texture	texture	high	2	2	modifier_attributes_clean
round	round	shape_attribute	shape_attribute	coco_attributes|vaw	object_attribute|shape	clean_exact_overlap|shape	high	2	2	coco_high_typed|modifier_attributes_clean
round (neck)	round (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
rounded	rounded	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
royalblue	royalblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
rubber	rubber	material_attribute	material_attribute	fashionpedia|ovad|vaw	material|non textile material type	material|non textile material type	high	3	3	modifier_attributes_clean
ruched	ruched	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
rugby (shirt)	rugby (shirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
ruined	ruined	state_attribute	state_attribute	ovad	state	state	high	1	1	modifier_attributes_clean
running	running	activity_attribute|pose_attribute	pose_attribute	coco_attributes|vaw	activity|object_attribute|pose|sport activity	activity|clean_exact_overlap|pose|sport activity	high	2	4	coco_high_typed|modifier_attributes_clean
rural	rural	context_attribute	context_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
rust colored	rust colored	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
sad	sad	expression_attribute	expression_attribute	coco_attributes|ovad|vaw	face expression|object_attribute	clean_exact_overlap|face expression	high	3	3	coco_high_typed|modifier_attributes_clean
saddlebrown	saddlebrown	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
safari (jacket)	safari (jacket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
sailor (collar)	sailor (collar)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
sailor (pants)	sailor (pants)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
sailor (shirt)	sailor (shirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
salmon	salmon	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
sand colored	sand colored	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
sandy	sandy	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
sandybrown	sandybrown	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
sarong (skirt)	sarong (skirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
scaly	scaly	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
scoop (neck)	scoop (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
seagreen	seagreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
seam (pocket)	seam (pocket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
seashell	seashell	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
sequin(a)	sequin(a)	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
serious	serious	expression_attribute	expression_attribute	coco_attributes|ovad|vaw	face expression|object_attribute	clean_exact_overlap|face expression	high	3	3	coco_high_typed|modifier_attributes_clean
serving	serving	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
set in sleeve	set in sleeve	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
shallow	shallow	size_attribute	size_attribute	vaw	depth	depth	high	1	1	modifier_attributes_clean
shawl (lapel)	shawl (lapel)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
shearling	shearling	material_attribute	material_attribute	fashionpedia	leather	leather	medium	1	1	modifier_attributes_clean
shearling (coat)	shearling (coat)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
sheath (dress)	sheath (dress)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
