term	count	synsets	alias_group
tethering	1	tether.v.01	
specked	1		
knot	1	knot.v.01	
silk	1		
has six	1	have.v.01	
a baby	1	pamper.v.01	baby
area right of	1	properly.r.01	
area around	1	approximately.r.01	
sol	1		
built out of	1	construct.v.01	
that mostly	1	be.v.01	
on a rusted	1	along.r.01	
leaning on top of	1	tend.v.01	
to match	1	match.v.01	
fishes	1	fish.v.01	
chopsitcks	1		
lettuce	1		
avacado	1		
demon	1		
tag with number	1	total.v.01	
tag in	1	chase.v.01	
bull	1	be.v.01	
bulls near	1	about.r.07	
bull with brown	1	talk_through_one's_hat.v.01	
are cooking in	1	be.v.01	cooking in
shares	1	share.v.01	
appliances	1		
on peoples	1	along.r.01	
burstig through	1	through.r.01	
settig i	1		
holidays	1	vacation.v.01	
rusted onto	1	corrode.v.02	
wheelchair	1		
employee	1		
class	1	classify.v.01	
eating yellow	1	eat.v.01	
bottom of picture	1	visualize.v.01	
rinses	1	wash.v.01	
shave	1	shave.v.01	
in a outdoor	1	in.r.01	
leg in	1	in.r.01	
bistro	1		
trell	1		
garden	1	garden.v.01	
mini	1		
earthenware	1		
lattice	1		
slides off	1	away.r.01	
chauffeuring	1	drive_around.v.01	
bears an	1	hold.v.11	bears
containing orange	1	incorporate.v.02	
shaped with	1	determine.v.02	
inbetween two	1	be.v.01	
with coal next to	1	be.v.01	
almond	1		
swept	1	sweep.v.02	
in lower right	1	lower.v.01	
kite surfing under	1	under.r.01	
maned	1	man.v.01	
carrying up	1	up.r.01	
stays near	1	about.r.07	
sitting at an	1	sit.v.01	sitting at
squatting between	1	squat.v.01	
folding a	1	be.v.01	folding
has its own	1	have.v.01	
reflected behind	1	chew_over.v.01	
reflected to	1	chew_over.v.01	
enveloping	1	envelop.v.01	
surrounds te	1	surround.v.01	
grows under	1	turn.v.07	
sandals on	1	along.r.01	
solved	1	solve.v.01	
interrupts	1	interrupt.v.01	
now	1	be.v.01	
firmly affixed to	1	firm.r.01	
hanging down back of	1	down.r.01	
balcony	1		
banister	1		
connected under	1	associate.v.01	
stays	1	stay.v.01	
anding in	1	in.r.01	
wilson	1		
foul	1	pollute.v.01	
blend with	1	blend.v.03	
caped	1	cap.v.01	
laces	1	intertwine.v.01	
laying up against	1	put.v.01	
look for	1	look.v.02	
holder for a	1		holder for
for a pink	1		
for a purple	1		
holders attached	1	attach.v.01	
pink on	1	be.v.01	
preparing catch of	1	watch.v.03	
outstretched with	1		
proppep top	1	exceed.v.02	
collects	1	gather.v.01	
faced toward	1	be.v.01	
has spikey	1	have.v.01	
with dark wavy	1		
with pulled back	1	back.r.01	
wearing stopped	1	wear.v.01	
has long curly	1	have.v.01	
decorations in	1	in.r.01	
to go	1	become.v.01	
length of	1	be.v.01	
painting on wall	1	along.r.01	
leaf in painting	1	in.r.01	
faucet trendy	1	be.v.01	
faucet for bath	1		
floor has tiles	1	have.v.01	
pictures on wall	1	visualize.v.01	
tub has shower head	1	have.v.01	
vanity brown	1	be.v.01	
counter shows plant	1	show.v.01	
tiles on floor	1	along.r.01	
wall has soap holder	1	have.v.01	
shower head seen	1	see.v.01	
design modern	1	be.v.01	
bar soap dish seen	1	see.v.01	
beginning to envelop	1	get_down.v.07	
inout of	1	away.r.02	
inbeside	1	in.r.01	
encounters	1	find.v.01	
i at	1		
middle of other	1		
stands with other	1	stand.v.01	
stapled to side of	1		
leads with	1	lead.v.01	
boredered by	1	by.r.01	
in navy	1	in.r.01	
under man	1	be.v.01	
beneath many	1	below.r.01	
cap of	1	cap.v.01	
extension	1		
stand looking	1	look.v.02	
slide	1	skid.v.04	
work in	1	work.v.01	
sixo	1		
seeing something on	1	see.v.01	
not have	1	not.r.01	
thrown onto	1	hold.v.03	
flies atop	1	fly.v.01	
that foraging for	1	be.v.01	
behind standing	1	stand.v.01	
coordinated with	1	organize.v.04	
exteneded on	1	along.r.01	
skateboarder	1		
kept over	1	keep.v.01	
holds two	1	have.v.01	
should	1		
crashing by	1	by.r.01	
absorbing	1	absorb.v.09	
on building on	1	construct.v.01	
dreary	1		
causing wake in	1	cause.v.01	
along shore	1	along.r.01	
white wave in	1	beckon.v.01	
with canvas	1	analyze.v.01	
with tower on	1	along.r.01	
desk under	1	under.r.01	
rectangles	1		
high with	1	high.r.01	
inside circle of	1	inside.r.01	
spraying out	1	away.r.02	
expelled from	1	oust.v.01	
on a chair	1	be.v.01	
seated on chair	1	be.v.01	
irons	1	iron.v.01	
prancing in	1	in.r.01	
muzzle	1	be.v.01	
ionside	1		
rolling on its	1	along.r.01	
compact	1	compress.v.02	
crossing bottom of	1	traverse.v.01	
holding cell	1	have.v.01	
going different from	1	become.v.01	
top in	1	in.r.01	
righ	1		
hammered into	1	hammer.v.01	
piano	1		
holds by	1	have.v.01	
objecting to	1	object.v.01	
brimmed	1		
worm bi	1	writhe.v.01	
holdimg	1		
amd white	1	whiten.v.01	
fin	1		
lime	1		
yellow design	1	plan.v.03	
and toilet	1		
with lid	1		
at foot	1	foot.v.01	
posing with h	1	put.v.01	
partly hidden behind	1	partially.r.01	
painted on womans	1	along.r.01	
braiding	1	braid.v.01	
shaking hand with	1	pass.v.05	shaking hand with
gather	1	gather.v.01	
gives coffee to	1	give.v.01	
probably pilling	1	probably.r.01	
soaping	1		
rising up	1	up.r.01	
famous	1		
bares	1	barricade.v.01	
sewed onto	1	sew.v.01	
bechs	1		
aloe	1		
sit o	1	sit.v.01	
perso o	1		
with trunk in	1	in.r.01	
draped nex to	1	drape.v.01	
reflection inside th	1	inside.r.01	
crash over	1	over.r.01	
farthest right on	1	along.r.01	
farthest left on	1	leave.v.01	
on same side as	1	along.r.01	
sitting on arm of	1	sit.v.01	
resting its head on	1	stay.v.01	
mount	1	climb.v.01	
that sas	1		
floated on	1	along.r.01	
ready to go	1	become.v.01	
with sail	1	sweep.v.02	
designate	1	indicate.v.02	
next to th	1	next.r.01	
travel in	1	travel.v.01	
pit	1	pit.v.01	
curves under	1	swerve.v.01	
comforts	1	comfort.v.01	
beteween	1		
elephant in photo	1	in.r.01	
aboe	1		
display has	1	have.v.01	
on meter has	1	have.v.01	
snaking across	1	across.r.01	
has a brake	1	have.v.01	
in his seat on	1	along.r.01	
near colorful	1	about.r.07	
stretching out h	1	away.r.02	
wearing all black	1	wholly.r.01	
type a	1	be.v.01	type
behhind	1		
visile on	1	along.r.01	
arriving in	1	arrive.v.01	
diving with	1	dive.v.01	
shopping with	1	shop.v.01	
sponser	1		
wearing some	1	approximately.r.01	
throws to	1	hold.v.03	
reaching and holding	1	have.v.01	
cuddles with	1	cuddle.v.01	
heating over	1	over.r.01	
into an	1		into
draining in	1	in.r.01	
proving shade	1	prove.v.02	
on maneuvering	1	be.v.01	
working a trick	1	work.v.01	
pushing other	1	push.v.01	
biting another	1	bite.v.01	
do not have a	1	not.r.01	do not have
being kicked in	1	be.v.01	
flies up from	1	up.r.01	
wake	1	wake_up.v.02	
squinted	1	squint.v.01	
twin	1	match.v.03	
paddles through	1	through.r.01	
holding all	1	be.v.01	
belching	1	burp.v.01	
crosses her	1	traverse.v.01	
rests beneath	1	stay.v.01	
has a smidge of	1	have.v.01	
soaring on	1	along.r.01	
reaching heights on	1	achieve.v.01	
walking tricks on	1	along.r.01	
gaining height on	1	reach.v.01	
idicates	1		
covering to	1	traverse.v.01	
polluting	1	pollute.v.01	
run in	1	run.v.01	
keeps out	1	keep.v.01	
radiating across	1	be.v.01	
fenced by	1	argue.v.02	
dried to	1	dry.v.02	
boy mouth open	1	be.v.01	
flip shows itself	1	show.v.01	
open mouth	1	talk.v.02	
old cell phone	1	call.v.03	
boy holds	1	have.v.01	
teeth showing	1	show.v.01	
flip grey	1	be.v.01	
eyes show eyelash	1	show.v.01	
flip alltel	1	be.v.01	
t shirt	1	shirt.v.01	
flowing leaves	1	leave.v.01	
kid	1	pull_the_leg_of.v.01	
boy has	1	have.v.01	
in cell phone	1	call.v.03	
lg	1		
cellphone	1		
red shirt	1	shirt.v.01	red shirt
mouth open	1	talk.v.02	
tree pleasant	1	be.v.01	
candelabra	1		
valance	1		
smoke	1	smoke.v.01	
scheduling	1	schedule.v.01	
discussion	1		
blode	1		
carpi	1		
franklins	1		
templeton	1		
attends to a	1	attend.v.01	attends to
putting cake on a	1	put.v.01	putting cake on
visible in open	1	open.v.01	
bird flying in	1	fly.v.01	
birds wing out straight in	1	directly.r.01	
coming in on	1	arrive.v.01	
has plenty	1	have.v.01	
brushing in front of	1	in.r.01	
scrubby	1		
seen parked	1	be.v.01	
seen on bus	1	be.v.01	seen on bus
has in front	1	have.v.01	
a ton of	1		ton of
that has a lot	1	have.v.01	
stopped at a stop	1	be.v.01	
on city bus	1	along.r.01	
are seen on bus	1	be.v.01	seen on bus
its name written	1	name.v.01	
leaning on a pole	1	be.v.01	
seen on road	1	be.v.01	
bus wearing	1	be.v.01	
are separated by	1	be.v.01	separated by
horns on giraffe	1	along.r.01	
guided	1	lead.v.01	
various	1		
with frosted	1	frost.v.01	
curler	1		
keeping sheep in	1	keep.v.01	
running around in	1	approximately.r.01	
to corral	1	corral.v.01	
of cow head on	1	along.r.01	
from age of	1	be.v.01	
on age of	1	be.v.01	
age of	1	be.v.01	
pepperoni	1		
martini	1		
washes up on	1	up.r.01	
casts on	1	along.r.01	
boiled in	1	in.r.01	
clamped to	1	clamp.v.01	
climbing into or out	1	climb.v.01	
wants to ride	1	desire.v.01	
parked across from	1	park.v.01	
are shining on	1	be.v.01	shining on
to wash	1	wash.v.01	
very near	1	be.v.01	
digs in	1	grok.v.01	
looking after	1	look.v.02	
matchers	1		
something on	1	along.r.01	
for a meal on a	1	along.r.01	for a meal on
pacman	1	man.v.01	
pine	1	ache.v.02	
bent over off	1	away.r.01	
beaing eaten by	1	eat.v.01	
eaing	1		
standing in a red	1	stand.v.01	
walking side	1	walk.v.01	
a park bench	1	park.v.01	park bench
a bird on street	1	along.r.01	bird on street
grass area	1	denounce.v.04	
people on bench	1	along.r.01	
car in street	1	in.r.01	
a bunch of trees	1		bunch of trees
bird on street	1	along.r.01	bird on street
bench on street	1	along.r.01	
background building	1	construct.v.01	
person on a bench	1	along.r.01	
black bird	1	blacken.v.01	
sidewalk benches	1	bench.v.01	
cars on street	1	along.r.01	
a wooden bench	1	bench.v.01	wooden bench
wooden bench	1	bench.v.01	wooden bench
large building	1	construct.v.01	
grass patch	1	patch.v.01	
wood bench	1	bench.v.01	
brown bench	1	bench.v.01	
sky with no clouds	1	no.r.01	
flying toward cloud	1	fly.v.01	
clouds drifting away	1	away.r.01	
gray and white cloud	1	obscure.v.01	
planes with blue	1	plan.v.03	
upward in	1	up.r.01	
warming	1	warm.v.01	
are herded on	1	be.v.01	herded on
birthed	1	give_birth.v.01	
hosing down	1	down.r.01	
hidden between	1	be.v.01	
hanging fom	1	be.v.01	
beginning in	1	get_down.v.07	
attaches handle to	1	cover.v.05	
proceeding	1	be.v.01	
has a bolt on	1	have.v.01	
left hand in	1	leave.v.01	
graphic	1		
looking to another	1	look.v.02	
can use	1	use.v.01	
standing closer to	1	stand.v.01	
are releasing	1	be.v.01	releasing
performs at	1	perform.v.01	
pouring drink into a	1	drink.v.01	pouring drink into
parks on	1	along.r.01	
with happy	1		
lip	1		
balm	1		
touches a	1	refer.v.02	touches
hang behind	1	hang.v.01	
of scissor hangs on	1	along.r.01	
of scissor has a	1	have.v.01	of scissor has
are found in	1	be.v.01	found in
of scissors by	1	by.r.01	
has different sized	1	have.v.01	
talking on its	1	be.v.01	
os over	1	over.r.01	
a table	1	postpone.v.01	table
are top of on	1	be.v.01	top of on
makes up th	1	make.v.01	
yellow and white	1	be.v.01	
yellow and white in	1	in.r.01	
grows next	1	turn.v.07	
blue bike	1		
red bike	1		
black pants	1	pant.v.01	
sunglasses	1		
brown boots	1	brown.v.01	
boy on bike	1	along.r.01	
green bike	1		
green shirt	1	shirt.v.01	
white red helmet	1	whiten.v.01	
blonde hair	1		
red shoes	1		
written on box	1	write.v.01	
a traffic light	1	light.v.01	traffic light
a white building	1	construct.v.01	white building
position	1	put.v.01	
balancing with her	1	balance.v.01	
lifted on	1	raise.v.02	
seated in back of	1	back.r.01	
o on	1	along.r.01	
w on	1	along.r.01	
decoration	1		
bends towards	1	bend.v.01	
going to drink from	1	become.v.01	
castiing	1		
in flight over	1	over.r.01	
are to control	1	be.v.01	to control
tops against	1	exceed.v.02	
with blonde hair in white	1	in.r.01	
arm extended in	1	run.v.03	
within an	1	inside.r.02	within
in position to strik	1	put.v.01	
in uniform at baseball	1		
leg protection in baseball	1		
protection for baseball	1		
a nike	1		nike
signature at ball	1		
dirt on baseball	1		
mask for baseball	1		
leather catchers	1		
belt buckle on	1		
wearing black and metal	1		
baseball catcher	1		
man wearing a catchers face	1		
rolling by	1	be.v.01	
swung at	1	swing.v.01	
has one foot on	1	have.v.01	
has on top	1	have.v.01	
in form of one	1	form.v.01	
material	1		
sandwiches	1		
being served on a	1	be.v.01	being served on
are mixed in with	1	be.v.01	mixed in with
table silver	1	be.v.01	
man has vest	1	have.v.01	
table glass	1	be.v.01	
indoor has plant	1	have.v.01	
man mature	1	be.v.01	
man has hand	1	have.v.01	
re are leaves	1	be.v.01	
window on wall	1	be.v.01	
hand left	1	be.v.01	
controller for game	1	bet_on.v.01	
man middleaged	1	be.v.01	
trouser has liner	1	have.v.01	
hair grey	1	be.v.01	
ceiling in room	1	be.v.01	
tree ficus	1	be.v.01	
are on tope of	1	be.v.01	on tope of
with meat and	1		
of basket holding	1	have.v.01	
stencils on	1	along.r.01	
and meat with	1		
partition near	1	about.r.07	
seeds on	1	along.r.01	
has chipped	1	have.v.01	
claim	1	claim.v.01	
tree in city	1	be.v.01	
building in city	1	construct.v.01	
picture being taken	1	be.v.01	
sign a stop sign	1	be.v.01	
shirt inner	1	be.v.01	
backpack on man	1	along.r.01	
tree on sidewalk	1	along.r.01	
are in left side of	1	be.v.01	in left side of
purses	1	purse.v.02	
fast on	1	along.r.01	
two wheels	1	wheel.v.03	
skateboardin	1		
mount h	1	climb.v.01	
watching in back	1	back.r.01	
wears small	1	wear.v.01	
keep treats	1	keep.v.01	
best	1	well.r.01	
people in	1	in.r.01	people in
that people	1	people.v.01	
withouth	1		
shingles on roof	1	along.r.01	
details on building	1	construct.v.01	
near womans hand	1	about.r.07	
catching a frisbee	1	watch.v.03	
a young woman	1		young woman
barefoot on beach	1	along.r.01	
watch on wrist	1	watch.v.01	
assembly of	1		
of meat	1		
chainlink	1	associate.v.01	
cords	1		
cords attached	1	attach.v.01	
water around	1	approximately.r.01	
black and gold	1	blacken.v.01	
of clouds	1	obscure.v.01	
on theke	1	along.r.01	
gently moving under	1	travel.v.01	
reclines	1	lean_back.v.01	
white polar bear looking at	1		
wire mesh fence enclosing an	1		wire mesh fence enclosing
plant growing near a big	1		
ear on a	1		ear on
mouth on a	1		mouth on
pointing face toward	1		
sitting on his back	1		
fencing behind	1		
silver grooved	1		
broad tan	1		
of elephants under	1		
with water on	1		
with dirt	1		
stop on	1	discontinue.v.01	
denoting end of	1	announce.v.01	
are both	1	be.v.01	both
toy a	1	be.v.01	toy
lays a	1	put.v.01	lays
has sad	1	have.v.01	
holding in place	1	have.v.01	
partially made	1	be.v.01	
interested in a	1		interested in
fork on plate	1	along.r.01	
edge of white plate	1	border.v.05	
a glass of water	1	water.v.01	glass of water
bordered with	1	surround.v.01	
unders	1		
many windows	1		
windows arched	1	arch.v.01	
grass lush	1	be.v.01	
bear on a sculpture	1	along.r.01	
windows on building	1	construct.v.01	
short grass	1	abruptly.r.01	
dark windows	1		
road in front	1	in.r.01	
lawn has green grass	1	have.v.01	
lawn manicured	1	be.v.01	
stuff mould	1	be.v.01	
covered in a white	1	traverse.v.01	
are many shades of	1	be.v.01	many shades of
are blooming in	1	be.v.01	blooming in
hanging down by	1	down.r.01	
are stuffed	1	be.v.01	stuffed
walk with	1	walk.v.01	
level on	1	along.r.01	
grip has	1	have.v.01	
propped by	1	by.r.01	
pulled across	1	pull.v.01	
chin length	1	chin.v.01	
on bat	1	be.v.01	
between bat and	1	be.v.01	
patches on	1	along.r.01	
along with	1	along.r.01	
picking h	1	be.v.01	
can be seen beneath	1	be.v.01	
on a sheet of	1	be.v.01	
wearing tripple xxx	1	wear.v.01	
waiting to receive	1	experience.v.03	
come out of	1	arrive.v.01	
shines above	1	above.r.01	
have hand in	1	have.v.01	
chin	1	chin.v.01	
laid in a	1	be.v.01	laid in
running next	1	run.v.01	
rushing into	1	rush.v.01	
where there are	1	be.v.01	where there
fence of	1	argue.v.02	
fence near	1	about.r.07	
has leafless	1	have.v.01	
readjusting	1	readjust.v.01	
restricting access to	1	restrict.v.03	
way up	1	up.r.01	
plate on front of	1	be.v.01	
getting cut by	1	get_down.v.07	
has horns on h	1	have.v.01	
has oval	1	have.v.01	
that larger tells	1	be.v.01	
inside arch has	1	have.v.01	
below larger	1	below.r.01	
colander	1		
pulling things out	1	pull.v.01	
nearly touches	1	about.r.07	
possibly behind	1	possibly.r.01	
tied together	1	together.r.01	
jumping in front of	1	jump.v.01	
patrols	1	patrol.v.01	
herbs are covering	1	be.v.01	
slice a lemon	1	be.v.01	
edge white	1	be.v.01	
melted over	1	over.r.01	
olive sitting	1	be.v.01	
plate has pizza	1	have.v.01	
pizza has lemon	1	have.v.01	
pizza on table	1	be.v.01	
crust on pizza	1	along.r.01	
saucer on table	1	be.v.01	
person at table	1	be.v.01	
herbs look cilantro	1	look.v.02	
white on plate	1	along.r.01	
it lovely	1	be.v.01	
growing at edge of	1	turn.v.07	
setting up a	1	put.v.01	setting up
are laid out across	1	be.v.01	laid out across
are laid out on	1	be.v.01	laid out on
wearing avengers	1	wear.v.01	
has railing with	1	have.v.01	
ears on computer	1		
trying to tag out	1	try.v.01	
sliding towards	1	skid.v.04	
has hands in	1	have.v.01	
reaching a	1	achieve.v.01	reaching
over two	1	over.r.01	
between two covered	1	traverse.v.01	
around inner edge of	1	approximately.r.01	
has many layers of	1	have.v.01	
rubbing with	1	be.v.01	
under h	1	be.v.01	
are into	1	be.v.01	into
overhead above	1		
reaching under	1		
has skis on	1	have.v.01	
to lodge	1	lodge.v.02	
decorations	1		decorations
together are	1	be.v.01	together
showind	1		
being helped by	1	be.v.01	
being typed on by	1	be.v.01	
being monitored by t	1	be.v.01	
has fallen onto a	1		has fallen onto
tipping up front of	1		
leaning over into	1		
extended across	1	run.v.03	
are carried by	1	be.v.01	carried by
h holding	1	have.v.01	
worn into	1		
herding through	1	herd.v.01	
hued	1		
that are perched on	1		
drawer closed	1	be.v.01	
stove below	1	be.v.01	
wall by carpet	1	be.v.01	
carpet hanging	1	be.v.01	
pulls are for door	1	be.v.01	
installed over	1	install.v.01	
window on door	1	be.v.01	
kitchen has wall	1	have.v.01	
stove has door	1	have.v.01	
door in doorway	1	in.r.01	
room living	1	be.v.01	
kitchen has sink	1	have.v.01	
oven electric	1	be.v.01	
room has curtain	1	have.v.01	
stove in kitchen	1	in.r.01	
sink in kitchen	1	be.v.01	
top on stove	1	be.v.01	
are laying on a	1	be.v.01	laying on
dressed in white	1	in.r.01	
in ears of	1	in.r.01	
with wide	1	wide.r.01	
play fighting	1		
shows below	1	show.v.01	
grey near	1	about.r.07	
shows behind	1	show.v.01	
ao	1		
on dtant	1	be.v.01	
in charge of	1	in.r.01	
surf in	1	in.r.01	
surf through	1	through.r.01	
carries along	1	transport.v.02	
across from of	1	be.v.01	
radiates from	1	glow.v.02	
are stuck into	1	be.v.01	stuck into
hangs over a	1	hang.v.01	hangs over
introduces	1	bring_in.v.01	
are showing behind	1	be.v.01	showing behind
waves on	1	along.r.01	
state	1	state.v.01	
sided	1		
floating toward	1	float.v.01	
waiting outside	1	be.v.01	
are grouped by	1	be.v.01	grouped by
scraped into	1	quarrel.v.01	
sheer at	1	swerve.v.01	
trying to fix	1	try.v.01	
swimming back to catch	1	back.r.01	
landing wheels	1		
of plane at	1		
propeller of plane in	1		
appears dark in	1		
are checking	1	be.v.01	checking
begins on	1	get_down.v.07	
pulling branches on	1		
hands of a clock	1	pass.v.05	
front of window	1	front.v.01	
sealed off windows	1	away.r.01	
sign on a street	1	along.r.01	
paint on street	1	along.r.01	
top of building	1	construct.v.01	
red brick wall	1		
clock with hands	1	pass.v.05	
pillar on building	1	construct.v.01	
parking lot	1	distribute.v.01	
base of pillar	1	establish.v.08	
has splayed	1	have.v.01	
head and	1	head.v.02	
of pole	1	be.v.01	
hanging out with	1	hang.v.01	
serving ball with	1	serve.v.01	
playing music on	1		
making music on	1		
touch a	1		touch
s covered in	1		
has has	1		
fronted	1		
company website	1	be.v.01	
tractor on	1	along.r.01	
used to contain	1	use.v.01	
manure in	1	in.r.01	
keeping horses in	1	keep.v.01	
has baby on	1	have.v.01	
bordered by a	1	by.r.01	bordered by
neighboring	1		
metal point	1	indicate.v.02	
furnished with	1	supply.v.01	
horse with a black	1		
has white spot on its	1		
white marking down middle of	1		
mane hanging down a	1		mane hanging down
covering a steep	1		
at base of neck when leaning	1		
brown and black horse	1		
has healthy	1	have.v.01	
rolled up in	1		
are in a beautiful	1	be.v.01	in a beautiful
are center of	1	be.v.01	center of
has distant look in	1	have.v.01	
are focus of	1	be.v.01	focus of
are expressive of	1	be.v.01	expressive of
top are	1	be.v.01	top
walking by an	1	be.v.01	walking by
sanctioned by	1	approve.v.01	
sledding down	1		
brushes her	1	brush.v.04	
has on colored	1		
prepares to ride a	1		prepares to ride
old outdoor	1		
fanny	1		
bread bun on	1		
layed at bottom of	1	put.v.01	
yellow ground	1	be.v.01	
removing h	1	remove.v.01	
sits and watches	1		
in control of	1	be.v.01	
being left behind	1		
being operated by	1	be.v.01	
constructed into	1		
came out	1		
has a shirt that	1	be.v.01	
leaves shadow on	1	leave.v.01	
taking photograph in	1		
is taking a	1		taking
walks along the	1		walks along
approaches down	1	down.r.01	
ligh	1		
stip	1		
over a pile of	1		
are garnished with	1	be.v.01	garnished with
pose for a	1	put.v.01	pose for
far off on	1		
open above a	1		open above
ont he side of	1		
competing at	1		
repelling	1		
wears own	1	own.v.01	
hold back	1	have.v.01	
glasses waiting	1	wait.v.01	
has a strip on h	1	have.v.01	
picture was taken	1	be.v.01	
of a starbucks	1		
glasses on top of a	1	along.r.01	glasses on top of
belt in a	1	in.r.01	belt in
passenger side mirror on	1	along.r.01	
of glasses on	1	along.r.01	
with sunglasses on h	1	along.r.01	
rowing on	1	along.r.01	rowing on
glaring off	1	away.r.01	
handbag	1		
has dispenser	1	have.v.01	
catycornered from	1	corner.v.01	
big toothy	1		
trows	1		
has fallen on	1	have.v.01	
free from	1	free.v.01	
identification	1		
station from	1	be.v.01	
lying on back on	1	back.r.01	
all have	1	have.v.01	all have
extending onto	1	run.v.03	
ready to use	1	use.v.01	
bereft of	1		
have backs to	1	have.v.01	
are numbered in	1	be.v.01	numbered in
are counted in	1	be.v.01	counted in
d	1		d
pretty on its	1	be.v.01	
attractive on its	1	be.v.01	
still on its	1	be.v.01	
are bright	1	be.v.01	bright
silhouetted beneath	1	below.r.01	
have been given	1	be.v.01	
piled for feeding	1	feed.v.01	
three storied	1		
cruiser still	1	however.r.01	
lighthouse white in	1	be.v.01	
palm tree in	1	be.v.01	
word canada written in red on side of an	1	write.v.01	word canada written in red on side of
word air written in red on side of an	1	write.v.01	word air written in red on side of
on side of an air canada	1	along.r.01	
letter c in red on side of an	1	along.r.01	letter c in red on side of
with a red maple leaf inside	1	inside.r.01	
waiting to be loaded on	1	be.v.01	
own	1	own.v.01	
on top edge of	1	along.r.01	
different direction	1		
on a bed of	1		
resting on train	1		
piled on side of	1	along.r.01	
decorated same as	1	equally.r.01	
has an item thats	1	have.v.01	
holding cold	1	have.v.01	
turnoff	1		
competes on	1	along.r.01	
slightly bigger than	1	slightly.r.01	
in sitting in	1	sit.v.01	
at a side of	1	be.v.01	
about to strike	1	about.r.07	
with foam	1	foam.v.01	
dress on	1	along.r.01	
of court	1	be.v.01	
base line	1	be.v.01	
in her right	1	be.v.01	
sneakers are	1	be.v.01	sneakers
grabbed	1		
walk under	1	walk.v.01	
crosser over	1	over.r.01	
appearing from	1	look.v.02	
swaying with	1	carry.v.23	
flower design on	1	along.r.01	
radiates into	1	glow.v.02	
torching	1		
lies across a	1	lie.v.01	lies across
dragging on	1	be.v.01	
passing below	1	be.v.01	
are to left	1	be.v.01	to left
separate dirt from	1	divide.v.01	
are fronting	1	be.v.01	fronting
herb	1		
body a	1	body.v.01	body
transportation	1		
cobblestone	1		
silver ring	1	call.v.03	
ladies black hair	1	blacken.v.01	
hair of a man	1	man.v.01	
necklace part	1	depart.v.03	
part of a vest	1	depart.v.03	
part of a top	1	depart.v.03	
a wall part	1	depart.v.03	wall part
shaving face	1	confront.v.02	
hair spray in hair	1	in.r.01	
a smile	1	smile.v.01	smile
being towed up	1	be.v.01	
pictured beside	1	visualize.v.01	
alternates	1	alternate.v.01	
at top front of	1	front.v.01	
has animal	1	have.v.01	
sniffs a	1	sniff.v.01	sniffs
bent forward of	1	forward.r.01	
has grey and black	1	have.v.01	
has a spot on	1	have.v.01	
thrid	1		
held by a mans	1	have.v.01	
paint over	1	be.v.01	
aong	1		
splattered with pink	1	spill.v.01	
reflector	1	be.v.01	
with spray	1	spray.v.01	
closure	1		
link silver	1	associate.v.01	
wearing th	1	wear.v.01	
holding a teddy	1		
furry teddy	1		
making a hand	1		
wearing black pants holding a	1		wearing black pants holding
with long hair holding a	1		with long hair holding
of a right	1		
wind surfing on	1	be.v.01	
shows man wearing	1	show.v.01	
creates lots of	1	make.v.03	
reflection across	1		
reaches under	1	achieve.v.01	
looks over h	1	look.v.02	
around arched	1		
arched window in a	1		arched window in
side of a brick	1		
round black	1		
tall clock tower seen from	1		
clock has two	1		
dials are gold in	1		
clock face black in	1		
open window above	1		
top of window	1		
tower made of	1		
with round clock	1		
aganist	1		
on top of green	1	be.v.01	
damp	1	dampen.v.07	
equipment	1		
knobs are	1		knobs
plastic on	1		
black electrical cord on	1		
blue fabric on	1		
between hand and	1	pass.v.05	
washed over	1	over.r.01	
washed up from	1	up.r.01	
ancored to	1		
along shore of	1	along.r.01	
streams through	1	pour.v.02	
on to pof	1	be.v.01	
abandoned at	1	abandon.v.05	
sunk in	1	in.r.01	
over residential	1	over.r.01	
with orange and blue	1		
along dark	1	along.r.01	
with gree	1		
i gree	1		
ad blue	1		
o edge of	1	border.v.05	
sheering a	1	swerve.v.01	sheering
cuts sheep	1	reduce.v.01	
body has no	1	have.v.01	
shaves	1	shave.v.01	
mounted with a	1	be.v.01	mounted with
stops and looks	1		
pondering on	1		
straps under	1	flog.v.01	
getting ready to serve	1	get_down.v.07	
was taken at th	1	be.v.01	
are a big	1		big
baby giraffe	1		
big giraffe have brown spots on	1		
baby giraffe have brown spots on	1		
big giraffe have white spots on	1		
big giraffe have black	1		
brown an	1		brown
in front of a returning	1		
allowing	1	let.v.01	
being used on	1	be.v.01	
sitting off	1	sit.v.01	
separated on	1	along.r.01	
trying to balance on	1	try.v.01	
on modern	1	along.r.01	
groing on	1	along.r.01	
are linking	1	be.v.01	linking
care	1	wish.v.02	
space across	1	across.r.01	
used to climb	1	use.v.01	
on a landing	1	be.v.01	
on air	1	along.r.01	
has markings on	1	have.v.01	
boxes	1	box.v.01	
boxes on	1	along.r.01	
reaching out toward	1		
a riding policeman	1	depend_on.v.01	riding policeman
casting shadow	1	roll.v.12	
a yellow jacket	1	yellow.v.01	yellow jacket
young girl	1		
neon motorcycle	1		
outstretched arm	1	arm.v.01	
policeman motorcycle	1		
a safety helmet	1		safety helmet
a white motorcycle	1	whiten.v.01	white motorcycle
visor on front	1	along.r.01	
word stop	1	discontinue.v.01	
a gray shirt	1	shirt.v.01	gray shirt
yellow motorcycle	1	yellow.v.01	
